2025-05-02 00:03:41.418298, 83.225.15.178, Rome, Lazio, IT
2025-05-02 03:14:25.287456, 83.225.15.178, Rome, Lazio, IT
2025-05-02 13:14:30.89943, 83.225.13.64, Bari, Apulia, IT
2025-05-02 13:15:59.627317, 83.225.13.64, Bari, Apulia, IT
2025-05-02 13:19:48.264638, 83.225.13.64, Bari, Apulia, IT
2025-05-02 13:22:23.718199, 83.225.13.64, Bari, Apulia, IT
2025-05-02 13:25:47.423863, 83.225.13.64, Bari, Apulia, IT
2025-05-02 13:30:50.042576, 83.225.13.64, Bari, Apulia, IT
2025-05-02 13:32:39.260556, 83.225.13.64, Bari, Apulia, IT
2025-05-02 13:34:20.432963, 83.225.13.64, Bari, Apulia, IT
2025-05-02 13:35:38.873739, 83.225.13.64, Bari, Apulia, IT
2025-05-02 13:36:49.734489, 83.225.13.64, Bari, Apulia, IT
2025-05-02 13:38:03.465172, 83.225.13.64, Bari, Apulia, IT
2025-05-02 13:38:26.811751, 83.225.13.64, Bari, Apulia, IT
2025-05-02 13:39:40.547668, 83.225.13.64, Bari, Apulia, IT
2025-05-02 13:41:15.571375, 83.225.13.64, Bari, Apulia, IT
2025-05-02 13:42:43.225076, 83.225.13.64, Bari, Apulia, IT
2025-05-02 13:43:35.245866, 83.225.13.64, Bari, Apulia, IT
2025-05-02 13:48:20.604817, 83.225.13.64, Bari, Apulia, IT
2025-05-02 13:49:57.37447, 83.225.13.64, Bari, Apulia, IT
2025-05-02 13:51:47.184305, 83.225.13.64, Bari, Apulia, IT
2025-05-02 13:55:22.266862, 83.225.13.64, Bari, Apulia, IT
2025-05-02 13:57:49.054049, 83.225.13.64, Bari, Apulia, IT
2025-05-02 13:58:25.11816, 83.225.13.64, Bari, Apulia, IT
2025-05-02 14:00:05.061341, 83.225.13.64, Bari, Apulia, IT
2025-05-02 14:00:31.683954, 83.225.13.64, Bari, Apulia, IT
2025-05-02 14:01:11.416063, 83.225.13.64, Bari, Apulia, IT
2025-05-02 14:01:53.809679, 83.225.13.64, Bari, Apulia, IT
2025-05-02 14:02:06.918388, 83.225.13.64, Bari, Apulia, IT
2025-05-02 14:02:16.952919, 83.225.13.64, Bari, Apulia, IT
2025-05-02 14:02:58.120161, 83.225.13.64, Bari, Apulia, IT
2025-05-02 14:03:18.394664, 83.225.13.64, Bari, Apulia, IT
2025-05-02 14:05:50.673854, 83.225.13.64, Bari, Apulia, IT
2025-05-02 14:06:59.582269, 83.225.13.64, Bari, Apulia, IT
2025-05-02 14:07:32.351014, 83.225.13.64, Bari, Apulia, IT
2025-05-02 14:08:23.140523, 83.225.13.64, Bari, Apulia, IT
2025-05-02 14:10:03.496512, 83.225.13.64, Bari, Apulia, IT
2025-05-02 14:11:19.476386, 83.225.13.64, Bari, Apulia, IT
2025-05-02 14:14:38.954845, 83.225.13.64, Bari, Apulia, IT
2025-05-02 14:17:27.375124, 83.225.13.64, Bari, Apulia, IT
2025-05-02 14:18:22.394952, 83.225.13.64, Bari, Apulia, IT
2025-05-02 14:18:47.790849, 83.225.13.64, Bari, Apulia, IT
2025-05-02 14:20:13.194865, 83.225.13.64, Bari, Apulia, IT
2025-05-02 14:24:19.716432, 83.225.13.64, Bari, Apulia, IT
2025-05-02 14:24:42.509766, 83.225.13.64, Bari, Apulia, IT
2025-05-02 14:25:27.361401, 83.225.13.64, Bari, Apulia, IT
2025-05-02 14:26:13.032532, 83.225.13.64, Bari, Apulia, IT
2025-05-02 14:27:04.848641, 83.225.13.64, Bari, Apulia, IT
2025-05-02 14:27:14.678792, 83.225.13.64, Bari, Apulia, IT
2025-05-02 14:27:26.157086, 83.225.13.64, Bari, Apulia, IT
2025-05-02 14:29:20.167498, 83.225.13.64, Bari, Apulia, IT
2025-05-02 14:29:42.688095, 83.225.13.64, Bari, Apulia, IT
2025-05-02 14:30:54.96939, 83.225.13.64, Bari, Apulia, IT
2025-05-02 14:31:17.082064, 83.225.13.64, Bari, Apulia, IT
2025-05-02 14:32:07.454108, 83.225.13.64, Bari, Apulia, IT
2025-05-02 14:32:35.714432, 83.225.13.64, Bari, Apulia, IT
2025-05-02 14:33:19.53528, 83.225.13.64, Bari, Apulia, IT
2025-05-02 14:34:21.114087, 83.225.13.64, Bari, Apulia, IT
2025-05-02 14:34:49.842893, 83.225.13.64, Bari, Apulia, IT
2025-05-02 14:35:40.834451, 83.225.13.64, Bari, Apulia, IT
2025-05-02 14:36:00.085974, 83.225.13.64, Bari, Apulia, IT
2025-05-02 14:36:34.487814, 83.225.13.64, Bari, Apulia, IT
2025-05-02 14:37:45.957998, 83.225.13.64, Bari, Apulia, IT
2025-05-02 14:39:44.731109, 83.225.13.64, Bari, Apulia, IT
2025-05-02 14:40:40.637013, 83.225.13.64, Bari, Apulia, IT
2025-05-02 14:41:47.807158, 83.225.13.64, Bari, Apulia, IT
2025-05-02 14:43:04.194116, 83.225.13.64, Bari, Apulia, IT
2025-05-02 14:43:41.723625, 83.225.13.64, Bari, Apulia, IT
2025-05-02 14:44:20.37279, 83.225.13.64, Bari, Apulia, IT
2025-05-02 14:44:39.212416, 83.225.13.64, Bari, Apulia, IT
2025-05-02 14:44:57.437995, 83.225.13.64, Bari, Apulia, IT
2025-05-02 14:46:16.890045, 83.225.13.64, Bari, Apulia, IT
2025-05-02 14:46:50.069988, 83.225.13.64, Bari, Apulia, IT
2025-05-02 14:47:40.859503, 83.225.13.64, Bari, Apulia, IT
2025-05-02 14:49:18.539199, 83.225.13.64, Bari, Apulia, IT
2025-05-02 14:51:11.378012, 83.225.13.64, Bari, Apulia, IT
2025-05-02 14:52:35.133859, 83.225.13.64, Bari, Apulia, IT
2025-05-02 14:57:58.953044, 83.225.13.64, Bari, Apulia, IT
2025-05-02 16:26:14.070967, 83.225.13.64, Bari, Apulia, IT
2025-05-02 16:27:00.167396, 83.225.13.64, Bari, Apulia, IT
2025-05-02 16:27:59.767114, 83.225.13.64, Bari, Apulia, IT
2025-05-02 16:30:21.599672, 83.225.13.64, Bari, Apulia, IT
2025-05-02 16:32:10.047653, 83.225.13.64, Bari, Apulia, IT
2025-05-02 16:32:54.748102, 83.225.13.64, Bari, Apulia, IT
2025-05-02 17:04:53.883553, 83.225.13.64, Bari, Apulia, IT
2025-05-02 17:05:32.255231, 83.225.13.64, Bari, Apulia, IT
2025-05-02 19:20:23.008403, 83.225.13.64, Bari, Apulia, IT
2025-05-03 00:19:21.366756, 83.225.8.77, Bari, Apulia, IT
2025-05-03 00:22:05.523094, 83.225.8.77, Bari, Apulia, IT
2025-05-03 00:24:56.011675, 83.225.8.77, Bari, Apulia, IT
2025-05-03 00:29:31.364105, 83.225.8.77, Bari, Apulia, IT
2025-05-03 00:34:05.498757, 83.225.8.77, Bari, Apulia, IT
2025-05-03 00:34:34.90645, 83.225.8.77, Bari, Apulia, IT
2025-05-03 00:49:53.576678, 83.225.8.77, Bari, Apulia, IT
2025-05-03 00:51:06.112798, 83.225.8.77, Bari, Apulia, IT
2025-05-03 00:55:40.543267, 83.225.8.77, Bari, Apulia, IT
2025-05-03 01:01:11.647244, 83.225.8.77, Bari, Apulia, IT
2025-05-03 01:05:46.649365, 83.225.8.77, Bari, Apulia, IT
2025-05-03 01:29:45.469325, 83.225.8.77, Bari, Apulia, IT
2025-05-03 02:06:01.367477, 83.225.8.77, Bari, Apulia, IT
2025-05-03 02:07:32.922681, 83.225.8.77, Bari, Apulia, IT
2025-05-03 02:08:20.436331, 83.225.8.77, Bari, Apulia, IT
2025-05-03 02:10:02.425095, 83.225.8.77, Bari, Apulia, IT
2025-05-03 02:13:50.986578, 83.225.8.77, Bari, Apulia, IT
2025-05-03 02:18:44.045683, 83.225.8.77, Bari, Apulia, IT
2025-05-03 02:22:38.75685, 83.225.8.77, Bari, Apulia, IT
2025-05-03 02:24:02.805851, 83.225.8.77, Bari, Apulia, IT
2025-05-03 02:34:00.094965, 83.225.8.77, Bari, Apulia, IT
2025-05-08 13:02:10.950115, 83.225.7.123, Rome, Lazio, IT
2025-05-20 10:38:10.416192, 83.225.0.207, Rome, Lazio, IT
2025-05-20 10:48:01.299734, 83.225.0.207, Rome, Lazio, IT
2025-05-20 10:56:54.61673, 83.225.0.207, Rome, Lazio, IT
2025-05-20 11:01:02.835527, 83.225.0.207, Rome, Lazio, IT
2025-05-20 11:02:51.814216, 83.225.0.207, Rome, Lazio, IT
2025-05-20 11:04:35.235133, 83.225.0.207, Rome, Lazio, IT
2025-05-20 11:09:01.251463, 83.225.0.207, Rome, Lazio, IT
2025-05-20 11:11:12.489679, 83.225.0.207, Rome, Lazio, IT
2025-05-20 11:12:15.806552, 83.225.0.207, Rome, Lazio, IT
2025-05-20 11:13:08.030351, 83.225.0.207, Rome, Lazio, IT
2025-05-20 11:15:32.122998, 83.225.0.207, Rome, Lazio, IT
2025-05-20 11:17:45.845578, 83.225.0.207, Rome, Lazio, IT
2025-05-20 11:20:40.731878, 83.225.0.207, Rome, Lazio, IT
2025-06-09 14:21:23.188474, 83.225.9.186, Rome, Lazio, IT
2025-06-09 14:21:51.852191, 83.225.9.186, Rome, Lazio, IT
2025-06-09 15:32:35.925766, 83.225.9.186, Rome, Lazio, IT
2025-06-09 15:32:58.247869, 83.225.9.186, Rome, Lazio, IT
2025-06-09 15:47:37.946712, 83.225.9.186, Rome, Lazio, IT
2025-06-09 15:50:01.808534, 83.225.9.186, Rome, Lazio, IT
2025-06-09 16:00:36.52446, 83.225.9.186, Rome, Lazio, IT
2025-06-09 16:04:29.792735, 83.225.9.186, Rome, Lazio, IT
2025-06-09 16:04:42.064593, 83.225.9.186, Rome, Lazio, IT
2025-06-09 16:06:26.10462, 83.225.9.186, Rome, Lazio, IT
2025-06-09 16:06:36.342982, 83.225.9.186, Rome, Lazio, IT
2025-06-09 16:06:42.486467, 83.225.9.186, Rome, Lazio, IT
2025-06-09 16:07:37.988445, 83.225.9.186, Rome, Lazio, IT
2025-06-09 16:08:41.47581, 83.225.9.186, Rome, Lazio, IT
2025-06-09 16:10:27.35907, 83.225.9.186, Rome, Lazio, IT
2025-06-09 16:12:54.405043, 83.225.9.186, Rome, Lazio, IT
2025-06-09 16:13:10.789181, 83.225.9.186, Rome, Lazio, IT
2025-06-09 16:14:43.617848, 83.225.9.186, Rome, Lazio, IT
2025-06-09 16:14:51.798105, 83.225.9.186, Rome, Lazio, IT
2025-06-10 00:42:09.383044, 83.225.2.113, Rome, Lazio, IT
2025-06-10 00:54:18.685119, 83.225.2.113, Rome, Lazio, IT
2025-06-10 00:57:21.610729, 83.225.2.113, Rome, Lazio, IT
2025-06-10 01:10:11.078535, 83.225.2.113, Rome, Lazio, IT
2025-06-10 01:28:22.828237, 83.225.2.113, Rome, Lazio, IT
2025-06-10 01:48:31.398792, 83.225.2.113, Rome, Lazio, IT
2025-06-10 01:51:27.354006, 83.225.2.113, Rome, Lazio, IT
2025-06-10 01:54:09.092829, 83.225.2.113, Rome, Lazio, IT
2025-06-10 01:56:11.04521, 83.225.2.113, Rome, Lazio, IT
2025-06-10 02:00:27.799233, 83.225.2.113, Rome, Lazio, IT
2025-06-10 02:15:22.109748, 83.225.2.113, Rome, Lazio, IT
2025-06-10 02:17:02.528797, 83.225.2.113, Rome, Lazio, IT
2025-06-10 02:21:09.923573, 83.225.2.113, Rome, Lazio, IT
2025-06-10 02:21:17.39021, 83.225.2.113, Rome, Lazio, IT
2025-06-10 02:25:11.059089, 83.225.2.113, Rome, Lazio, IT
2025-06-10 02:26:20.073153, 83.225.2.113, Rome, Lazio, IT
2025-06-10 02:27:26.018679, 83.225.2.113, Rome, Lazio, IT
2025-06-10 02:34:43.66757, 83.225.2.113, Rome, Lazio, IT
2025-06-10 02:38:23.341319, 83.225.2.113, Rome, Lazio, IT
2025-06-10 02:39:04.622229, 83.225.2.113, Rome, Lazio, IT
2025-06-10 02:46:59.621005, 83.225.2.113, Rome, Lazio, IT
2025-06-10 02:50:05.175844, 83.225.2.113, Rome, Lazio, IT
2025-06-10 02:51:35.943321, 83.225.2.113, Rome, Lazio, IT
2025-06-10 02:58:06.262949, 83.225.2.113, Rome, Lazio, IT
2025-06-10 02:59:56.451766, 83.225.2.113, Rome, Lazio, IT
2025-06-10 03:00:41.526922, 83.225.2.113, Rome, Lazio, IT
2025-06-10 03:03:56.772274, 83.225.2.113, Rome, Lazio, IT
2025-06-10 03:05:52.424713, 83.225.2.113, Rome, Lazio, IT
2025-06-10 03:08:58.505402, 83.225.2.113, Rome, Lazio, IT
2025-06-10 03:16:42.480565, 83.225.2.113, Rome, Lazio, IT
2025-06-10 03:22:30.647815, 83.225.2.113, Rome, Lazio, IT
2025-06-10 03:23:13.621273, 83.225.2.113, Rome, Lazio, IT
2025-06-10 14:09:09.122648, 83.225.12.32, Rome, Lazio, IT
2025-06-10 14:11:35.853349, 83.225.12.32, Rome, Lazio, IT
2025-06-10 14:14:28.802028, 83.225.12.32, Rome, Lazio, IT
2025-06-10 14:17:27.281319, 83.225.12.32, Rome, Lazio, IT
2025-06-10 14:18:08.946497, 83.225.12.32, Rome, Lazio, IT
2025-06-10 14:19:48.242717, 83.225.12.32, Rome, Lazio, IT
2025-06-10 14:21:05.649995, 83.225.12.32, Rome, Lazio, IT
2025-06-10 14:24:20.897031, 83.225.12.32, Rome, Lazio, IT
2025-06-10 14:24:29.889049, 83.225.12.32, Rome, Lazio, IT
2025-06-10 14:26:35.869136, 83.225.12.32, Rome, Lazio, IT
2025-06-10 14:55:55.821049, 83.225.12.32, Rome, Lazio, IT
2025-06-10 15:00:38.221524, 83.225.12.32, Rome, Lazio, IT
2025-06-10 15:01:33.702989, 83.225.12.32, Rome, Lazio, IT
2025-06-10 15:07:54.196737, 83.225.12.32, Rome, Lazio, IT
2025-06-10 15:08:30.774768, 83.225.12.32, Rome, Lazio, IT
2025-06-10 15:10:20.927527, 83.225.12.32, Rome, Lazio, IT
2025-06-10 15:47:12.271367, 83.225.12.32, Rome, Lazio, IT
2025-06-10 15:48:44.166935, 83.225.12.32, Rome, Lazio, IT
2025-06-10 15:57:32.808491, 83.225.12.32, Rome, Lazio, IT
2025-06-10 15:58:48.11456, 83.225.12.32, Rome, Lazio, IT
2025-06-10 15:59:43.409674, 83.225.12.32, Rome, Lazio, IT
2025-06-10 16:01:22.425152, 83.225.12.32, Rome, Lazio, IT
2025-06-10 16:05:38.914351, 83.225.12.32, Rome, Lazio, IT
2025-06-10 16:06:39.985527, 83.225.12.32, Rome, Lazio, IT
2025-06-10 16:10:49.437362, 83.225.12.32, Rome, Lazio, IT
2025-06-10 16:11:44.323748, 83.225.12.32, Rome, Lazio, IT
2025-06-10 16:12:15.896023, 83.225.12.32, Rome, Lazio, IT
2025-06-10 16:15:43.404351, 83.225.12.32, Rome, Lazio, IT
2025-06-10 16:18:32.492252, 83.225.12.32, Rome, Lazio, IT
2025-06-10 16:19:48.519131, 83.225.12.32, Rome, Lazio, IT
2025-06-10 16:25:33.807073, 83.225.12.32, Rome, Lazio, IT
2025-06-10 16:46:20.074458, 83.225.12.32, Rome, Lazio, IT
2025-06-10 16:54:40.008223, 83.225.12.32, Rome, Lazio, IT
2025-06-10 17:11:08.467839, 83.225.12.32, Rome, Lazio, IT
2025-06-10 17:12:34.690265, 83.225.12.32, Rome, Lazio, IT
2025-06-10 17:18:21.224583, 83.225.12.32, Rome, Lazio, IT
2025-06-10 17:20:00.551335, 83.225.12.32, Rome, Lazio, IT
2025-06-10 17:26:24.694929, 83.225.12.32, Rome, Lazio, IT
2025-06-10 17:42:24.878769, 83.225.12.32, Rome, Lazio, IT
2025-06-10 17:50:45.319453, 83.225.12.32, Rome, Lazio, IT
2025-06-10 17:52:07.659742, 83.225.12.32, Rome, Lazio, IT
2025-06-10 18:11:33.808037, 83.225.12.32, Rome, Lazio, IT
2025-06-10 18:13:06.450564, 83.225.12.32, Rome, Lazio, IT
2025-06-10 18:13:28.192028, 83.225.12.32, Rome, Lazio, IT
2025-06-10 18:21:03.249787, 83.225.12.32, Rome, Lazio, IT
2025-06-12 16:11:43.148637, 83.225.3.244, Rome, Lazio, IT
2025-06-12 16:18:48.150796, 83.225.3.244, Rome, Lazio, IT
2025-06-12 16:19:25.864515, 83.225.3.244, Rome, Lazio, IT
2025-06-12 16:21:12.35565, 83.225.3.244, Rome, Lazio, IT
2025-06-12 16:21:56.388513, 83.225.3.244, Rome, Lazio, IT
2025-06-12 16:23:42.320964, 83.225.3.244, Rome, Lazio, IT
2025-06-12 16:24:13.437533, 83.225.3.244, Rome, Lazio, IT
2025-06-12 16:26:12.411269, 83.225.3.244, Rome, Lazio, IT
2025-06-12 16:27:01.570777, 83.225.3.244, Rome, Lazio, IT
2025-06-12 16:29:34.844888, 83.225.3.244, Rome, Lazio, IT
2025-06-12 16:30:04.692164, 83.225.3.244, Rome, Lazio, IT
2025-06-12 16:30:30.058512, 83.225.3.244, Rome, Lazio, IT
2025-06-12 16:32:44.705505, 83.225.3.244, Rome, Lazio, IT
2025-06-12 16:34:41.140018, 83.225.3.244, Rome, Lazio, IT
2025-06-12 16:55:54.096697, 83.225.3.244, Rome, Lazio, IT
2025-06-12 16:57:17.761905, 83.225.3.244, Rome, Lazio, IT
2025-06-12 16:58:08.549934, 83.225.3.244, Rome, Lazio, IT
2025-06-12 17:00:04.437711, 83.225.3.244, Rome, Lazio, IT
2025-06-12 17:06:52.216363, 83.225.3.244, Rome, Lazio, IT
2025-06-12 17:08:42.285645, 83.225.3.244, Rome, Lazio, IT
2025-06-12 17:10:12.00392, 83.225.3.244, Rome, Lazio, IT
2025-06-12 17:10:33.439989, 83.225.3.244, Rome, Lazio, IT
2025-06-12 17:12:05.667429, 83.225.3.244, Rome, Lazio, IT
2025-06-12 17:16:44.60842, 83.225.3.244, Rome, Lazio, IT
2025-06-12 17:18:38.68253, 83.225.3.244, Rome, Lazio, IT
2025-06-12 17:19:52.765603, 83.225.3.244, Rome, Lazio, IT
2025-06-12 17:24:27.599967, 83.225.3.244, Rome, Lazio, IT
2025-06-12 17:25:29.109485, 83.225.3.244, Rome, Lazio, IT
2025-06-12 17:27:28.746912, 83.225.3.244, Rome, Lazio, IT
2025-06-12 17:28:20.529997, 83.225.3.244, Rome, Lazio, IT
2025-06-12 17:29:48.800165, 83.225.3.244, Rome, Lazio, IT
2025-06-12 17:30:08.900517, 83.225.3.244, Rome, Lazio, IT
2025-06-12 17:31:52.188512, 83.225.3.244, Rome, Lazio, IT
2025-06-12 17:32:54.344213, 83.225.3.244, Rome, Lazio, IT
2025-06-12 17:33:41.453107, 83.225.3.244, Rome, Lazio, IT
2025-06-12 17:34:10.528162, 83.225.3.244, Rome, Lazio, IT
2025-06-12 17:34:25.478033, 83.225.3.244, Rome, Lazio, IT
2025-06-12 17:35:34.656393, 83.225.3.244, Rome, Lazio, IT
2025-06-12 17:37:48.488806, 83.225.3.244, Rome, Lazio, IT
2025-06-12 17:40:50.171335, 83.225.3.244, Rome, Lazio, IT
2025-06-12 17:41:45.012812, 83.225.3.244, Rome, Lazio, IT
2025-06-12 17:42:31.662644, 83.225.3.244, Rome, Lazio, IT
2025-06-12 17:43:59.697601, 83.225.3.244, Rome, Lazio, IT
2025-06-12 17:44:32.083259, 83.225.3.244, Rome, Lazio, IT
2025-06-12 17:45:35.777053, 83.225.3.244, Rome, Lazio, IT
2025-06-12 17:46:14.769726, 83.225.3.244, Rome, Lazio, IT
2025-06-12 17:47:10.39465, 83.225.3.244, Rome, Lazio, IT
2025-06-12 17:47:30.464602, 83.225.3.244, Rome, Lazio, IT
2025-06-12 17:47:56.67966, 83.225.3.244, Rome, Lazio, IT
2025-06-12 17:49:05.080877, 83.225.3.244, Rome, Lazio, IT
2025-06-12 17:49:37.84891, 83.225.3.244, Rome, Lazio, IT
2025-06-12 17:50:10.207867, 83.225.3.244, Rome, Lazio, IT
2025-06-12 17:50:49.734882, 83.225.3.244, Rome, Lazio, IT
2025-06-12 17:51:25.573345, 83.225.3.244, Rome, Lazio, IT
2025-06-12 17:58:58.868995, 83.225.3.244, Rome, Lazio, IT
2025-06-12 17:59:53.482277, 83.225.3.244, Rome, Lazio, IT
2025-06-12 18:02:05.199456, 83.225.3.244, Rome, Lazio, IT
2025-06-12 18:03:30.431144, 83.225.3.244, Rome, Lazio, IT
2025-06-12 18:03:51.160584, 83.225.3.244, Rome, Lazio, IT
2025-06-12 18:05:47.989775, 83.225.3.244, Rome, Lazio, IT
2025-06-12 18:06:33.754975, 83.225.3.244, Rome, Lazio, IT
2025-06-12 18:06:58.644428, 83.225.3.244, Rome, Lazio, IT
2025-06-12 18:07:30.181308, 83.225.3.244, Rome, Lazio, IT
2025-06-12 18:07:49.637699, 83.225.3.244, Rome, Lazio, IT
2025-06-12 18:09:07.868089, 83.225.3.244, Rome, Lazio, IT
2025-06-12 18:10:50.678315, 83.225.3.244, Rome, Lazio, IT
2025-06-12 18:12:13.207514, 83.225.3.244, Rome, Lazio, IT
2025-06-12 18:15:53.845517, 83.225.3.244, Rome, Lazio, IT
2025-06-12 18:32:37.874142, 83.225.3.244, Rome, Lazio, IT
2025-06-12 18:33:32.074774, 83.225.3.244, Rome, Lazio, IT
2025-06-12 18:37:46.086345, 83.225.3.244, Rome, Lazio, IT
2025-06-12 18:38:08.147022, 83.225.3.244, Rome, Lazio, IT
2025-06-12 18:42:11.285138, 83.225.3.244, Rome, Lazio, IT
2025-06-12 18:42:36.846849, 83.225.3.244, Rome, Lazio, IT
2025-06-12 18:44:00.813846, 83.225.3.244, Rome, Lazio, IT
2025-06-12 18:44:38.702194, 83.225.3.244, Rome, Lazio, IT
2025-06-12 18:46:33.597834, 83.225.3.244, Rome, Lazio, IT
2025-06-12 18:53:07.082268, 83.225.3.244, Rome, Lazio, IT
2025-06-12 18:55:20.344325, 83.225.3.244, Rome, Lazio, IT
2025-06-12 18:56:52.711938, 83.225.3.244, Rome, Lazio, IT
2025-06-12 19:09:22.745361, 83.225.3.244, Rome, Lazio, IT
2025-06-12 19:12:05.550741, 83.225.3.244, Rome, Lazio, IT
2025-06-12 19:13:09.978721, 83.225.3.244, Rome, Lazio, IT
2025-06-12 19:14:26.204712, 83.225.3.244, Rome, Lazio, IT
2025-06-12 19:16:31.752459, 83.225.3.244, Rome, Lazio, IT
2025-06-12 19:17:49.983503, 83.225.3.244, Rome, Lazio, IT
2025-06-12 19:18:27.253162, 83.225.3.244, Rome, Lazio, IT
2025-06-12 19:19:17.020178, 83.225.3.244, Rome, Lazio, IT
2025-06-12 19:19:44.938067, 83.225.3.244, Rome, Lazio, IT
2025-06-12 19:22:45.50601, 83.225.3.244, Rome, Lazio, IT
2025-06-12 20:26:53.037614, 83.225.14.47, Rome, Lazio, IT
2025-06-12 20:27:06.293308, 83.225.14.47, Rome, Lazio, IT
2025-06-12 20:27:39.879434, 83.225.14.47, Rome, Lazio, IT
2025-06-12 20:28:01.383272, 83.225.14.47, Rome, Lazio, IT
2025-06-12 20:38:25.307241, 83.225.14.47, Rome, Lazio, IT
2025-06-12 20:40:31.110438, 83.225.14.47, Rome, Lazio, IT
2025-06-12 21:03:54.70358, 83.225.14.47, Rome, Lazio, IT
2025-06-12 22:19:22.87508, 83.225.13.26, Rome, Lazio, IT
2025-06-12 22:20:29.627045, 83.225.13.26, Rome, Lazio, IT
2025-06-12 22:21:11.607647, 83.225.13.26, Rome, Lazio, IT
2025-06-12 22:21:24.305918, 83.225.13.26, Rome, Lazio, IT
2025-06-12 22:22:02.3985, 83.225.13.26, Rome, Lazio, IT
2025-06-12 22:53:28.933236, 83.225.13.26, Rome, Lazio, IT
2025-06-12 22:55:15.42865, 83.225.13.26, Rome, Lazio, IT
2025-06-12 22:56:07.859856, 83.225.13.26, Rome, Lazio, IT
2025-06-12 22:56:23.179703, 83.225.13.26, Rome, Lazio, IT
